Notes,Score,Evidence
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) or SourceForge (https://sourceforge.net)?",3,Github
Is your documentation clearly available on your website or within your software?,3,"Documentation in repo, readme.md also there"
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",2,"Readme.md is there, video also explains about it. But no quick start guide"
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",0,No
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",3,Readme.md has mentioned about it. Software functions clearly stated.
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,0,No
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",2,Not specifically but docs folder contains some information
Do you store your documentation under revision control with your source code?,3,Documentation in the repo
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",2,Release page is there but video clearly states about different relases in readme
"Does your website and documentation describe what support, if any, you provide to users and developers?",3,Email listed in Readme.md and contributing.md has mentioned how to make PR's and open issues
Does your project have an e-mail address or forum that is solely for supporting users?,3,Yes in GH
Are e-mails to your support e-mail address received by more than one person?,3,Yes in GH
Does your project have a ticketing system to manage bug reports and feature requests?,3,Can be opened publicly in the repo
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",3,Can be opened publicly in the repo
Is your software’s architecture and design modular?,3,Yes
Does your software use an accepted coding standard or convention?,3,"Yes, contributing.md "
Does your software allow data to be imported and exported using open data formats?,0,
Does your software allow communications using open communications protocols?,3,
Is your software cross-platform compatible?,3,Multi-platform
Does your software adhere to appropriate accessibility conventions or standards?,3,Code of conduct
Does your documentation adhere to appropriate accessibility conventions or standards?,3,Yes in GH
Is your source code stored in a repository under revision control?,3,Yes in GH
Is each source code release a snapshot of the repository?,3,All release are stored in Zenodo
Are releases tagged in the repository?,3,Release tagged in releases section in GH
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",3,Main
Do you back-up your repository?,3,"Constantly pulling from all users, Zenado has everything"
Do you provide publicly-available instructions for building your software from the source code?,3,Commands are available for Docker and development in Readme
"Can you build, or package, your software using an automated tool?",3,Yes
Do you provide publicly-available instructions for deploying your software?,3,Readme.md
Does your documentation list all third-party dependencies?,2,package.json files and probably all are there
Does your documentation list the version number for all third-party dependencies?,3,Yes
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",2,Its there but not all mentioned
Can you download dependencies using a dependency management tool or package manager?,3,npm details in Readme
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,3,"Yes, test directory"
Do you have an automated test suite for your software?,3,Github actions
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,3,Github actions
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",3,Github actions
Are your test results publicly visible?,3,"When repository is public, tests are public"
Are all manually-run tests documented?,0,No
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",0,No
Does your website state how many projects and users are associated with your project?,3,Listed in GH
Do you provide success stories on your website?,0,No
Do you list your important partners and collaborators on your website,3,The contributors are listed
Do you list your project's publications on your website or link to a resource where these are available?,0,Not available
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,3,Yes in GH
Can users subscribe to notifications to changes to your source code repository?,3,Yes if notifications are ON for GH
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",2,"open Source is there, governance model might be there"
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",3,issues and repos are open
Do you have a contributions policy?,3,contributions.md
Is your contributions' policy publicly available?,3,contributions.md
Do contributors keep the copyright/IP of their contributions?,2,
Does your website and documentation clearly state the copyright owners of your software and documentation?,3,Yes
Does each of your source code files include a copyright statement?,0,No
Does your website and documentation clearly state the licence of your software?,3,"Yes, Mit license"
Is your software released under an open source licence?,3,Yes
Is your software released under an OSI-approved open-source licence?,3,"Yes, MIT"
Does each of your source code files include a licence header?,0,No
Do you have a recommended citation for your software?,3,citations.md
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",3,readme and projects tab
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",3,Its funded by all contributors ;)
"Do you make timely announcements of the deprecation of components, APIs, etc.?",2,Not frequently
,,
Notes,Score,evidence
Video,3,"2min video of new functionality, showing a significant delta from prior."
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,
"but nevertheless, here is a track record that everyone is contributing a lot)",3,evidence in GH
Number of commits,2,in GH
Number of commits: by different people,2,in GH
Issues reports: there are many,2,
Issues are being closed,2,evidence in GH
DOI badge: exists,3,in GH
"Docs: doco generated, format not ugly",3,in GH
Docs: what: point descriptions of each class/function (in isolation),3,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,doc page entries
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,
Use of version control tools,3,
Use of style checkers,3,config files in GH showing your config
Use of code formatters.,3,config files in GH showing your this formatter's config
Use of syntax checkers.,3,config files iin GH showing this checker's config
Use of code coverage,3,config files in GH
Other automated analysis tools,3,config files in GH
Test cases exist,3,dozens of tests and those test cases are more than 30% of the code base
Test cases are routinely executed,2,E.g. travis-com.com or github actions or something
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,2,
Issues are discussed before they are closed,2,"even if you discuss in slack, need a sumamry statement here"
Chat channel: exists,2,Link or screenshots
Test cases: a large proportion of the issues related to handling failing cases.,3,"If a test case fails, open an issue and fix it"
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
Evidence that the members of the team are working across multiple places in the code base,3,
Short release cycles,2,(hard to see in short projects) project members are committing often enough so that everyone can get your work
,80,
